rank,score,is_rented_out,rental_income_eur_month,address,district,city,price_eur,debt_free_price_eur,loan_share_eur,loan_ratio,room_count,size_sqm,year_built,completion_year,hoitovastike_eur_month,rahoitusvastike_eur_month,rahoitusvastike_grace_eur_month,grace_end_year,booking_method,interest_est_yr,principal_est_yr,principal_pct,tax_benefit_yr,tax_benefit_if_yes,est_rent_month,rent_source,pre_tax_cf_yr,after_tax_cf_yr,cash_yield,lifetime_net_benefit,lifetime_net_benefit_if_yes,timing_value,timing_value_if_yes,nearest_hub,hub_distance_m,helsinki_central_km,listing_url
1,46,True,75.0,"Paatsamatie 12 A 20, Etelä-Haaga, Helsinki",Etelä-Haaga,helsinki,36707.69,202793.0,166085,0.819,1,34.0,2024,,272.0,639.36,,2027,unknown,6643,1029,0.0062,0,309,908,city avg 1h,-40,-337,-0.0092,0,0,0,619,Huopalahti,373,6.3,https://asunnot.oikotie.fi/myytavat-asunnot/helsinki/24701994
2,37,True,,"Laajaniitynkuja 7 D, Martinlaakso, Vantaa",Martinlaakso,vantaa,34246.58,177900.0,143653,0.807,2,37.5,2023,2023,187.5,685.0,,,unknown,5746,2474,0.0172,0,742,636,city avg 2h,-2838,-2838,-0.0829,0,0,0,1489,Martinlaakso,150,13.08,https://asunnot.oikotie.fi/myytavat-asunnot/vantaa/24702500
3,27,True,,"Kalevalantie 5 C55, Tapiola, Espoo",Tapiola,espoo,184580.0,462000.0,277420,0.6,3,88.0,2027,,387.2,1563.64,,,unknown,11097,7667,0.0276,0,2300,1555,city avg 3+h,-9249,-9249,-0.0501,0,0,0,4614,Urheilupuisto metro,926,8.6,https://asunnot.oikotie.fi/myytavat-asunnot/espoo/24705855
4,8,True,,"Mestarintie 19 C 25, Oulunkylä, Helsinki",Oulunkylä,helsinki,111868.0,379000.0,267132,0.705,3,63.5,2024,,396.88,1641.6,,2026,unknown,10685,9014,0.0337,0,2704,1287,city avg 3+h,-12523,-12523,-0.1119,0,0,0,5425,Korso,19191,40.39,https://asunnot.oikotie.fi/myytavat-asunnot/helsinki/24695866
5,55,False,,"Kalasatamankatu 26 A5, Kalasatama, Helsinki",Kalasatama,helsinki,155931.0,389647.0,233716,0.6,3,69.5,2026,2026,729.75,1399.35,599.02,,unknown,9349,7444,0.0318,0,2233,1408,city avg 3+h,-8653,-8653,-0.0555,0,0,0,4480,Kalasatama metro,134,2.95,https://asunnot.oikotie.fi/myytavat-asunnot/helsinki/24685175
6,54,False,,"Keihäsrinne 28 B 3, Kilo, Espoo",Kilo,espoo,153271.0,394000.0,240729,0.611,4,90.0,2026,2026,261.0,627.9,,2027,unknown,9629,0,0.0,0,0,1590,city avg 3+h,3862,3331,0.0217,0,0,0,0,Kilo,421,10.06,https://asunnot.oikotie.fi/myytavat-asunnot/espoo/24308016
7,53,False,,"Veräjä 8 F 167, Oulunkylä, Helsinki",Oulunkylä,helsinki,143600.0,359000.0,215400,0.6,4,81.0,2025,2027,243.0,584.82,,2029,unknown,8616,0,0.0,0,0,1641,city avg 3+h,4607,3704,0.0258,0,0,0,0,Oulunkylä,572,7.16,https://asunnot.oikotie.fi/myytavat-asunnot/helsinki/24439996
8,52,False,,"Kivijatatie 7 A 12, Kivikko, Helsinki",Kivikko,helsinki,49733.92,159000.0,109266,0.687,2,36.5,2026,2026,217.18,347.52,,2026,unknown,4371,0,0.0,0,0,773,city avg 2h,2500,1810,0.0364,0,0,0,0,Myllypuro metro,1355,9.61,https://asunnot.oikotie.fi/myytavat-asunnot/helsinki/24708345
9,52,False,,"Osmankäämintie 58 D, Tikkurila, Vantaa",Tikkurila,vantaa,151600.0,379000.0,227400,0.6,4,78.0,,2027,214.5,412.42,,2026,unknown,9096,0,0.0,0,0,1201,city avg 3+h,6889,6066,0.04,0,0,0,0,Tikkurila,1637,14.03,https://asunnot.oikotie.fi/myytavat-asunnot/vantaa/24565491
10,50,False,,"Tulistimenkatu 8 A4, Pasila, Helsinki",Pasila,helsinki,134140.0,477000.0,342860,0.719,3,91.0,2026,,436.8,2193.87,,,unknown,13714,12612,0.0368,0,3784,1844,city avg 3+h,-14409,-14409,-0.1074,0,0,0,7590,Pasila,438,3.61,https://asunnot.oikotie.fi/myytavat-asunnot/helsinki/23980626
11,49,False,,"Radiokatu 20 a1, Pasila, Helsinki",Pasila,helsinki,96108.0,241100.0,144992,0.601,1,33.0,2026,,165.0,872.71,,,unknown,5800,4673,0.0322,0,1402,881,city avg 1h,-1881,-2718,-0.0283,0,0,0,2812,Ilmala,592,3.73,https://asunnot.oikotie.fi/myytavat-asunnot/helsinki/22257166
12,48,False,,"Pohjoiskaari 34-38 C 40, Lauttasaari, Helsinki",Lauttasaari,helsinki,101000.0,275000.0,174000,0.633,1,31.0,2027,,189.1,411.65,,2028,unknown,6960,0,0.0,0,0,828,city avg 1h,2727,2515,0.0249,0,0,0,0,Lauttasaari metro,765,2.79,https://asunnot.oikotie.fi/myytavat-asunnot/helsinki/22976794?src=listing_of_the_week_search
13,46,False,,"Retiisikuja 1 A 3, Hiekkaharju, Vantaa",Hiekkaharju,vantaa,57250.0,114500.0,57250,0.5,1,29.0,,,232.0,197.4,,2026,unknown,2290,79,0.0014,0,24,656,city avg 1h,2719,1880,0.0328,0,0,0,47,Hiekkaharju,609,,https://asunnot.oikotie.fi/myytavat-asunnot/vantaa/24696660
14,42,False,,"Niittykummuntie 2 A49, Niittykumpu, Espoo",Niittykumpu,espoo,140204.0,280504.0,140300,0.5,3,56.0,2026,2026,235.2,940.01,420.9,2027,unknown,5612,5668,0.0404,0,1700,990,city avg 3+h,-5502,-5552,-0.0396,0,0,0,3411,Niittykumpu metro,219,9.91,https://asunnot.oikotie.fi/myytavat-asunnot/espoo/22039790
15,41,False,,"Sibeliuksenkatu 12 A 07, Töölö, Helsinki",Töölö,helsinki,178132.0,440000.0,261868,0.595,2,55.5,2027,,233.1,798.28,,2026,unknown,10475,0,0.0,0,0,1176,city avg 2h,1735,1483,0.0083,0,0,0,0,Kamppi metro,1509,1.65,https://asunnot.oikotie.fi/myytavat-asunnot/helsinki/24307010
16,41,False,,"Länsisatamankatu 18 E 83, Jätkäsaari, Helsinki",Jätkäsaari,helsinki,193040.0,482600.0,289560,0.6,3,63.5,2024,,444.5,1833.88,,2027,unknown,11582,10424,0.036,0,3127,1287,city avg 3+h,-11897,-11897,-0.0616,0,0,0,6274,Ruoholahti metro,557,1.96,https://asunnot.oikotie.fi/myytavat-asunnot/helsinki/24697163
17,37,False,,"Halkosuontie 69 A 14, Pakila, Helsinki",Pakila,helsinki,79868.05,199670.0,119802,0.6,1,39.5,2026,2026,95.74,314.87,,2025,unknown,4792,0,0.0,0,0,1055,city avg 1h,6675,4977,0.0623,0,0,0,0,Pohjois-Haaga,2761,8.18,https://asunnot.oikotie.fi/myytavat-asunnot/helsinki/24702276
18,35,False,,"Jokiniementie 52 A 07, Oulunkylä, Helsinki",Oulunkylä,helsinki,198600.0,485700.0,287100,0.591,3,72.5,2027,,358.88,1857.06,,,unknown,11484,10801,0.0376,0,3240,1469,city avg 3+h,-8963,-9515,-0.0479,0,0,0,6500,Oulunkylä,378,6.85,https://asunnot.oikotie.fi/myytavat-asunnot/helsinki/24393306
19,35,False,,"Koukkupojankuja 2 A18, Kalasatama, Helsinki",Kalasatama,helsinki,148842.0,517582.0,368740,0.712,4,97.5,2027,2027,409.5,1997.78,937.95,2028,unknown,14750,9224,0.025,0,2767,1975,city avg 3+h,-17391,-17391,-0.1168,0,0,0,5551,Kalasatama metro,1095,2.24,https://asunnot.oikotie.fi/myytavat-asunnot/helsinki/24698403
20,32,False,,"Steniuksentie 20 B23, Etelä-Haaga, Helsinki",Etelä-Haaga,helsinki,89928.0,521400.0,431472,0.828,3,70.0,2024,,315.0,2667.98,,,unknown,17259,14757,0.0342,0,4427,1418,city avg 3+h,-18780,-18780,-0.2088,0,8067,0,8881,Huopalahti,374,5.57,https://asunnot.oikotie.fi/myytavat-asunnot/helsinki/23645161
21,32,False,,"Särkiniementie 3b A 36, Lauttasaari, Helsinki",Lauttasaari,helsinki,109075.0,310000.0,200925,0.648,1,27.5,2024,,104.5,1245.5,,,unknown,8037,6909,0.0344,0,2073,735,city avg 1h,-9192,-9192,-0.0843,0,0,0,4158,Lauttasaari metro,460,3.83,https://asunnot.oikotie.fi/myytavat-asunnot/helsinki/24704788
22,32,False,,"Niittyportti 8 A 18, Niittykumpu, Espoo",Niittykumpu,espoo,185240.0,463100.0,277860,0.6,3,67.0,2028,,328.3,1882.96,,,unknown,11114,11481,0.0413,0,3444,1184,city avg 3+h,-12327,-12327,-0.0665,0,0,0,6910,Niittykumpu metro,399,9.32,https://asunnot.oikotie.fi/myytavat-asunnot/espoo/24455533
23,30,False,,"Metsäläntie 8 a A 23, Postipuisto, Helsinki",Postipuisto,helsinki,97500.0,465000.0,367500,0.79,5,103.0,2023,,438.0,2183.0,,2025,unknown,14700,11496,0.0313,0,3449,2087,city avg 3+h,-11352,-11395,-0.1169,0,2083,0,6919,Käpylä,1045,5.66,https://asunnot.oikotie.fi/myytavat-asunnot/helsinki/24354101
24,22,False,,"Yksisarvisenkuja 2 A 17, Kruunuvuorenranta, Helsinki",Kruunuvuorenranta,helsinki,139320.0,338400.0,199080,0.588,2,42.0,2026,,214.2,1197.8,,,unknown,7963,6410,0.0322,0,1923,890,city avg 2h,-6264,-6308,-0.0453,0,0,0,3858,Kulosaari metro,2081,4.15,https://asunnot.oikotie.fi/myytavat-asunnot/helsinki/24689353
