address,district,city,price_eur,debt_free_price_eur,housing_company_loan_eur,room_count,size_sqm,floor,year_built,property_type,pipe_renovation_done,pipe_renovation_year,pipe_renovation_info,is_rented_out,monthly_cost_eur,hoitovastike_eur_month,tonttivuokra_eur_month,score,rank,nearest_stop,distance_m,lat,lon,_search_pass,listing_url
"Kaskelantie 5, Kaskela, Vantaa",Kaskela,vantaa,159000.0,159000.0,,2,35.0,4/7,2019,kerrostalo,False,,,False,792.66,140.4,,100,8,Kaskela,163,60.282215,25.096341,new_house_2000plus,https://asunnot.oikotie.fi/myytavat-asunnot/vantaa/22985238
"Kaskelantie 5, Kaskela, Vantaa",Kaskela,vantaa,159000.0,159000.0,,3,50.0,7/7,2019,kerrostalo,False,,,False,852.26,200.0,,98,9,Kaskela,163,60.282215,25.096341,new_house_2000plus,https://asunnot.oikotie.fi/myytavat-asunnot/vantaa/24517304
"Orvokkitie 20 A, Tikkurila, Vantaa",Tikkurila,vantaa,157000.0,157000.0,,2,30.0,5/5,2017,kerrostalo,False,,,False,786.14,144.0,,97,10,Tikkuraitti,110,60.293062,25.035015,new_house_2000plus,https://asunnot.oikotie.fi/myytavat-asunnot/vantaa/24592910
"Kaskelantie 7, Hakunila, Vantaa",Hakunila,vantaa,70587.98,134990.0,64402.02,1,26.0,3/8,2018,kerrostalo,False,,,True,632.26,101.4,,91,1,Kaskela,136,60.281799,25.096128,new_house_2000plus,https://asunnot.oikotie.fi/myytavat-asunnot/vantaa/23831363
"Heporinne 2 a, Hakunila, Vantaa",Hakunila,vantaa,165000.0,165000.0,,2,38.5,4/7,2022,kerrostalo,False,,,False,919.37,144.38,92.4,89,11,Hevoshaanpolku,74,60.273355,25.10368,new_house_2000plus,https://asunnot.oikotie.fi/myytavat-asunnot/vantaa/22257758
"Kukonharja 3 B, Koivuhaka, Vantaa",Koivuhaka,vantaa,70248.0,116900.0,46652.0,1,23.5,3/4,2019,kerrostalo,False,,,False,563.94,124.55,,88,12,Koivuhaka,187,60.293205,25.008364,new_house_2000plus,https://asunnot.oikotie.fi/myytavat-asunnot/vantaa/23437301
"Horsmakuja 4 B, Tikkurila, Vantaa",Tikkurila,vantaa,189000.0,189000.0,,2,39.5,2/6,2013,kerrostalo,False,,,False,977.74,173.8,,85,13,Silkkitehdas,80,60.28901,25.031544,new_house_2000plus,https://asunnot.oikotie.fi/myytavat-asunnot/vantaa/24585567
"Heporinne 2, Hakunila, Vantaa",Hakunila,vantaa,145000.0,145000.0,,2,38.5,5/7,2022,kerrostalo,False,,,False,859.06,173.25,104.34,83,14,Hevoshaanpolku,102,60.273265,25.102881,new_house_2000plus,https://asunnot.oikotie.fi/myytavat-asunnot/vantaa/24399247
"Orvokkikuja 6, Tikkurila, Vantaa",Tikkurila,vantaa,159000.0,159000.0,,2,39.0,1/6,2000,kerrostalo,False,,,False,831.66,179.4,,80,15,Silkkitehdas,177,60.290359,25.03132,new_house_2000plus,https://asunnot.oikotie.fi/myytavat-asunnot/vantaa/23547707
"Tikkurilantie 33 B, Tikkurila, Vantaa",Tikkurila,vantaa,199500.0,199500.0,,2,39.5,4/5,2019,kerrostalo,False,,,False,1011.08,154.05,,80,16,Tikkuraitti,392,60.290026,25.040807,new_house_2000plus,https://asunnot.oikotie.fi/myytavat-asunnot/vantaa/23291062
"Perintötie 1, Aviapolis, Vantaa",Aviapolis,vantaa,169000.0,169000.0,,2,44.0,3/5,2019,kerrostalo,False,,,False,936.02,233.2,,79,17,Annefred,241,60.294911,24.969224,new_house_2000plus,https://asunnot.oikotie.fi/myytavat-asunnot/vantaa/24673815
"Kuulakuja 4 B, Länsimäki, Vantaa",Länsimäki,vantaa,125000.0,125000.0,,2,59.0,2/5,1971,kerrostalo,True,2025,"taan Kuulakuja 4 – Keihästie 3 sijaitsee omalla tontilla, ja taloyhtiötä on hoidettu suunnitelmallisesti vuosikymmenten ajan. Vuonna 2025 valmistunut linjasaneeraus on taloyhtiön merkittävin peruskorjaus, jonka yhteydessä kunnostettiin myös porrashuoneet. Lisäksi yhtiössä on vuosien varrella toteutettu laajasti m",False,745.84,265.5,,79,48,Länsimäki,84,60.244718,25.110505,pipe_reno_2025,https://asunnot.oikotie.fi/myytavat-asunnot/vantaa/24593655
"Ratakuja 4 A, Tikkurila, Vantaa",Tikkurila,vantaa,107270.23,192000.0,84729.77,2,37.0,3/6,2015,kerrostalo,False,,,False,1007.81,188.7,,79,18,Tikkurilan asema,98,60.293911,25.04323,new_house_2000plus,https://asunnot.oikotie.fi/myytavat-asunnot/vantaa/24522481
"Viertolankuja 6, Viertola, Vantaa",Viertola,vantaa,134660.22,179000.0,44339.78,2,42.5,5/7,2013,kerrostalo,False,,,False,963.76,210.38,,79,19,Viertola,72,60.290923,25.020294,new_house_2000plus,https://asunnot.oikotie.fi/myytavat-asunnot/vantaa/23752425
"Peltolantie 44, Koivuhaka, Vantaa",Koivuhaka,vantaa,156900.0,156900.0,,2,32.5,2/4,2024,kerrostalo,False,,,False,917.89,276.25,,78,20,Koivuhaka,160,60.293433,25.00578,new_house_2000plus,https://asunnot.oikotie.fi/myytavat-asunnot/vantaa/24618605
"Orvokkikuja 6 A, Tikkurila, Vantaa",Tikkurila,vantaa,163490.69,165000.0,1509.31,1,35.0,4/6,2000,kerrostalo,False,,,False,843.59,161.0,,77,21,Silkkitehdas,132,60.290179,25.03325,new_house_2000plus,https://asunnot.oikotie.fi/myytavat-asunnot/vantaa/24626283
"Heporinne 2a C, Hakunila, Vantaa",Hakunila,vantaa,198000.0,198000.0,,4,55.5,6/7,2022,kerrostalo,False,,,False,1249.61,249.75,150.41,77,22,Hevoshaanpolku,52,60.273541,25.103782,new_house_2000plus,https://asunnot.oikotie.fi/myytavat-asunnot/vantaa/24300130
"Kukonharja 3 B, Koivuhaka, Vantaa",Koivuhaka,vantaa,94361.2,178900.0,84538.8,2,44.0,3/4,2019,kerrostalo,False,,,False,999.28,246.4,,77,23,Koivuhaka,187,60.293205,25.008364,new_house_2000plus,https://asunnot.oikotie.fi/myytavat-asunnot/vantaa/23437318
"Hepokuja 6 E, Hakunila, Vantaa",Hakunila,vantaa,77326.2,93000.0,15673.8,1,31.0,3/7,1971,kerrostalo,True,,"a on alkovi. Keittokomero saa valoa isosta ikkunasta ja olohuoneen puolelle mahtuu ruokailutila. 

Taloyhtiössä on tehty kattavasti remontteja, kuten linjasaneeraus jonka yhteydessä kylpyhuone uusittiin. 
Erityisesti oma tontti takaa turvallisen sijoituksen ja hissi helpottaa arkea. 

Tämä asunto sopii ostajalle,",False,461.14,142.6,,75,49,Hevoshaanpolku,138,60.273924,25.10649,pipe_reno_done,https://asunnot.oikotie.fi/myytavat-asunnot/vantaa/24547833
"Antaksentie 13 A, Pakkalanrinne, Vantaa",Pakkalanrinne,vantaa,187000.0,187000.0,,2,45.5,4/6,2010,kerrostalo,False,,,True,998.58,204.75,,74,2,Backasbrinken/Pakkalanrinne,305,60.293417,24.947263,new_house_2000plus,https://asunnot.oikotie.fi/myytavat-asunnot/vantaa/24620266
"Jokiniemenkuja 5 A, Jokiniemi, Vantaa",Jokiniemi,vantaa,129900.0,129900.0,,2,31.5,3/5,2020,kerrostalo,False,,,False,816.97,311.85,,74,24,Jokiniemi,158,60.291331,25.054013,new_house_2000plus,https://asunnot.oikotie.fi/myytavat-asunnot/vantaa/24380208
"Kaskelantie 7 A, Hakunila, Vantaa",Hakunila,vantaa,164000.0,164000.0,,3,58.0,4/8,2018,kerrostalo,False,,,False,1024.44,226.2,120.7,74,25,Kaskela,218,60.281974,25.094558,new_house_2000plus,https://asunnot.oikotie.fi/myytavat-asunnot/vantaa/16978203
"Osuustie 4, Pakkala, Vantaa",Pakkala,vantaa,164185.16,165000.0,,2,44.0,4/5,2007,kerrostalo,False,,,False,911.39,228.8,,72,26,Backasbrinken/Pakkalanrinne,179,60.290394,24.951737,new_house_2000plus,https://asunnot.oikotie.fi/myytavat-asunnot/vantaa/24650871
"Jokiniemenkuja 5 A, Jokiniemi, Vantaa",Jokiniemi,vantaa,154000.0,154000.0,,2,31.5,5/5,2020,kerrostalo,False,,,False,948.28,321.3,,72,27,Jokiniemi,158,60.291331,25.054013,new_house_2000plus,https://asunnot.oikotie.fi/myytavat-asunnot/vantaa/23309842
